,,,,,,
,Model,ar,gk,ar_gk,,
Dataset,,,,,,
ar ,,0.9682,0.9317,0.9709,,
gk ,,0.8672,0.9519,0.9498,,
ar_gk,,0.8917,0.9472,0.955,,
,,,,,,
ar_gk,on,ar_gk,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9738,0.949,0.9612,186,5,10
NAME,0.914,0.9077,0.9108,2084,196,212
QUANTITY,0.9911,0.9897,0.9904,2121,19,22
SIZE,0.9798,0.9417,0.9604,97,2,6
STATE,0.9402,0.9483,0.9443,991,63,54
TEMP,0.814,0.8333,0.8235,35,8,7
UNIT,0.9796,0.9757,0.9776,1727,36,43
Totals,0.9565,0.9534,0.955,7241,329,354
,,,,,,
,,,,,,
ar_gk,on ,ar,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.96,0.9412,0.9505,48,2,3
NAME,0.9363,0.9419,0.9391,470,32,29
QUANTITY,1,0.9981,0.999,523,0,1
SIZE,1,0.95,0.9744,19,0,1
STATE,0.9693,0.9467,0.9578,284,9,16
TEMP,1,0.9,0.9474,9,0,1
UNIT,0.9864,0.9841,0.9852,434,6,7
Totals,0.9733,0.9686,0.9709,1787,49,58
,,,,,,
,,,,,,
,,,,,,
ar_gk,on ,gk,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9787,0.9517,0.965,138,3,7
NAME,0.9078,0.8982,0.9029,1614,164,183
QUANTITY,0.9882,0.987,0.9876,1598,19,21
SIZE,0.975,0.9398,0.9571,78,2,5
STATE,0.929,0.949,0.9389,707,54,38
TEMP,0.7647,0.8125,0.7879,26,8,6
UNIT,0.9766,0.9729,0.9747,1292,31,36
Totals,0.951,0.9485,0.9498,5453,281,296
,,,,,,
,,,,,,
,,,,,,
ar ,on ,ar_gk,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.973,0.9184,0.9449,180,5,16
NAME,0.795,0.8123,0.8035,1865,481,431
QUANTITY,0.9524,0.9902,0.9709,2122,106,21
SIZE,0.9612,0.9612,0.9612,99,4,4
STATE,0.8848,0.9187,0.9014,960,125,85
TEMP,0.8,0.7619,0.7805,32,8,10
UNIT,0.9213,0.8729,0.8964,1545,132,225
Totals,0.8877,0.8957,0.8917,6803,861,792
,,,,,,
ar ,on ,ar,,,,
Entity,P,R,F1,TP,FP,FN
DF,1,0.9608,0.98,49,0,2
NAME,0.9297,0.9279,0.9288,463,35,36
QUANTITY,1,0.9962,0.9981,522,0,2
SIZE,1,1,1,20,0,0
STATE,0.9601,0.9633,0.9617,289,12,11
TEMP,0.875,0.7,0.7778,7,1,3
UNIT,0.9819,0.9841,0.983,434,8,7
Totals,0.9696,0.9669,0.9682,1784,56,61
,,,,,,
ar ,on ,gk,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9632,0.9034,0.9324,131,5,14
NAME,0.7587,0.7802,0.7693,1402,446,395
QUANTITY,0.9379,0.9883,0.9624,1600,106,19
SIZE,0.9518,0.9518,0.9518,79,4,4
STATE,0.8559,0.9007,0.8777,671,113,74
TEMP,0.7813,0.7813,0.7813,25,7,7
UNIT,0.8988,0.8358,0.8662,1110,125,218
Totals,0.8616,0.8728,0.8672,5018,806,731
,,,,,,
,,,,,,
gk ,on ,ar_gk,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9637,0.949,0.9563,186,7,10
NAME,0.9137,0.8946,0.904,2054,194,242
QUANTITY,0.991,0.9804,0.9857,2101,19,42
SIZE,0.9798,0.9417,0.9604,97,2,6
STATE,0.9354,0.9416,0.9385,984,68,61
TEMP,0.85,0.8095,0.8293,34,6,8
UNIT,0.9818,0.9441,0.9626,1671,31,99
Totals,0.9561,0.9384,0.9472,7127,327,468
,,,,,,
,,,,,,
gk ,on ,ar,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9412,0.9412,0.9412,48,3,3
NAME,0.9095,0.8657,0.8871,432,43,67
QUANTITY,1,0.9599,0.9796,503,0,21
SIZE,1,0.95,0.9744,19,0,1
STATE,0.9617,0.92,0.9404,276,11,24
TEMP,1,0.8,0.8889,8,0,2
UNIT,0.9819,0.8594,0.9166,379,7,62
Totals,0.963,0.9024,0.9317,1665,64,180
,,,,,,
gk ,on ,gk,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9718,0.9517,0.9617,138,4,7
NAME,0.9148,0.9026,0.9087,1622,151,175
QUANTITY,0.9882,0.987,0.9876,1598,19,21
SIZE,0.975,0.9398,0.9571,78,2,5
STATE,0.9255,0.9503,0.9377,708,57,37
TEMP,0.8125,0.8125,0.8125,26,6,6
UNIT,0.981,0.9721,0.9766,1291,25,37
Totals,0.9539,0.9499,0.9519,5461,264,288
