Sno,Process,Frequency,YN,Aliases
7744,absorbed,304,1,
8652,add,188517,1,
4673,adjust,963,0,
6235,after,2352,0,
8097,again,609,0,
5990,ahead,647,0,
6995,al dente,1317,1,
10187,all,65,0,
8574,also,289,0,
10427,alternate,563,0,
9091,and,289,0,
2524,anise,54,0,
3227,approx,148,0,
4286,arrange,2489,1,
6038,aside,16063,0,
6228,assemble,299,1,
707,assembly,67,0,
66,avoid,66,0,
1751,away,171,0,
7167,back,231,0,
3518,bacon,52,0,
7491,bag,443,0,
10562,bake,30394,1,
5664,baked,285,0,
3337,baking,6828,0,
2085,ball,473,0,
7411,barbecue,119,1,
4769,base,395,0,
9336,basil,360,0,
10610,baste,688,1,basting
6952,batch,69,0,
10571,batter,106,0,
7513,bay,332,0,
741,bean,122,0,
1454,beat,15363,1,
2979,beater,71,0,
6620,beating,1059,0,
5084,because,74,0,
4383,beef,1752,0,
5462,beer,387,0,
1559,before,524,0,
7658,begin,73,0,
821,below,58,0,
93,best,370,0,
10456,better,204,0,
8002,bit,59,0,
7716,bite,88,0,
2624,bitter,56,0,
714,black,55,0,
7088,blackened,128,0,
3962,blade,138,0,
4954,blanch,328,1,
887,blend,14357,1,
9317,blender,3041,0,
8777,blending,105,0,
3576,blistered,83,0,
688,blitz,50,1,
4067,blot,54,1,
7504,board,259,0,
9039,boil,39045,1,
7793,boiled,109,0,
10146,boiling,2840,0,
5909,bone,141,0,
9582,book,60,0,
3886,border,115,0,
2338,both,91,0,
5479,bottle,168,0,
10312,bottom,193,0,
8863,bouillon,145,0,
9723,box,109,0,
1723,braid,81,0,
6324,braise,81,1,
258,brandy,77,0,
6026,bread,391,0,
10560,break,1071,1,
7693,breaking,229,0,
10207,briefly,58,0,
5821,bring,47,0,
1980,broil,2044,1,
9136,broil,32527,1,
6020,broiler,442,0,
7299,broth,241,0,
9094,browning,487,0,
2437,brush,6085,1,
7938,brushing,123,0,
2178,bubble,373,1,
9641,bubbling,637,1,
9288,bubbly,751,0,
153,build,84,0,
4678,burn,806,1,burning
9470,burned,67,0,
884,burner,117,0,
9604,but,83,0,
11,butter,446,1,
897,buttered,62,0,
8741,c,57,0,
5423,cabbage,101,0,
7514,cake,185,0,
569,can,687,0,
5483,canned,68,0,
8292,caramelize,399,1,caramelized
931,caramelized,264,1,
2282,careful,53,0,
8915,carve,183,1,
3622,casserole,387,0,
6343,cauliflower,86,0,
2046,celsius,65,0,
8228,center,104,0,
5693,change,75,0,
1403,char,65,1,
4620,chard,112,0,
9247,charred,218,1,
737,check,684,1,
9814,cheese,151,0,
1177,chef,58,0,
4078,cherry,68,0,
1628,chicken,230,0,
3148,chili,62,0,
1744,chill,5255,1,
7626,chilled,798,0,
2871,chilling,78,0,
6680,chinese,100,0,
2830,chipotle,76,0,
8038,chocolate,49,0,
8742,choose,85,0,
951,chop,6579,1,
6146,chopped,648,0,
2661,chutney,49,0,
7594,cider,47,0,
4701,circle,48,0,
9378,clean,732,1,
8399,close,560,0,
1493,closed,103,0,
1877,coarse,60,0,
9138,coarsely,166,0,
1145,coat,7260,1,
7202,coated,1910,0,
8691,coating,147,0,
1043,cocoa,108,0,
8320,coconut,584,0,
10172,cod,65,0,
4457,coffee,282,0,
5774,colander,159,0,
7166,cold,2555,0,
1562,color,604,0,
2222,colored,173,0,
1480,colour,204,0,
5116,coloured,123,0,
6801,combine,21856,1,
3812,combined,2181,0,
6386,complete,116,0,
6178,completely,128,0,
5394,concentrate,79,0,
6253,condensed,83,1,
8417,consistency,1517,0,
7346,container,57,0,
6055,continue,3563,0,
5082,continuing,56,0,
10338,cook,94149,1,
5106,cookbook,61,0,
10583,cooked,18548,0,
1049,cooker,2028,0,
6667,cookie,682,0,
5638,cooking,8693,1,D
10533,cooky,226,0,
8865,cool,26433,1,
259,cooled,815,0,
9010,cooling,497,0,
8390,core,315,0,
969,coriander,1855,0,
4847,corn,936,0,
9474,cornbread,71,0,
1404,cornmeal,190,0,
5738,cornstarch,822,0,
8160,correct,60,0,
4721,corriander,61,0,
220,course,112,0,
2086,cover,50175,1,
538,covered,6359,0,
5366,covering,256,0,
2919,crack,211,0,
835,crackle,132,0,
2683,cream,6833,1,
4728,creamed,50,0,
7493,creamy,228,0,
3743,create,418,0,
3016,crepe,61,0,
965,crimp,60,1,
2273,crisp,947,0,
4900,crisp-tender,359,0,
10321,crockpot,108,1,
9650,crosswise,95,0,
3681,crumble,950,1,
5427,crumbled,51,0,
7199,crumbly,260,0,
322,crunchy,89,0,
9690,crush,783,1,
6372,crushed,147,0,
1708,crust,838,0,
1283,crusty,81,0,
1210,cube,259,0,
9271,cucumber,50,0,
6145,curd,51,0,
830,curdle,66,1,
2500,curry,58,0,
3574,custard,172,0,
3589,cut,22296,1,
1599,cutter,277,0,
3407,cutting,357,0,
4305,cycle,112,0,
2253,dal,84,0,
5529,dampen,49,0,
7965,dark,129,0,
6330,dash,52,1,
9337,day,302,0,
8878,decorate,550,1,
2079,decrease,114,0,
4320,deep,520,0,
10196,deflate,73,1,
8626,defrost,132,1,
9770,deg,83,0,
341,deglaze,325,1,
8311,degree,62,0,
2542,delicious,178,0,
8358,depending,210,0,
6621,desire,63,0,
10532,desired,1486,0,
4421,devein,103,1,
5017,develop,78,0,
3981,diameter,72,0,
10277,dice,1398,1,
4029,diced,77,0,
2700,dijon,48,0,
4328,dill,455,0,
2202,dinner,98,0,
9498,dip,1611,1,
882,dipping,113,0,
9612,direction,483,0,
1795,discard,5439,0,
4522,discarding,84,0,
596,dish,2749,0,
7213,dissolve,1309,1,
4581,dissolved,1792,0,
6866,distribute,193,1,
6461,divide,3870,1,
6911,dollop,70,1,
5999,don,116,0,
3491,done,1551,0,
4205,doneness,567,0,
5765,dot,373,0,
3625,double,51,0,
8718,doubled,287,0,
3652,dough,61,0,
525,down,984,0,
8210,drain,21705,1,
3391,drained,194,0,
2609,dredge,782,1,
7129,dress,111,1,
5431,dressing,1203,1,
2533,drink,150,0,
2701,drip,181,1,
7892,dripping,91,1,
2753,drizzle,5795,1,
2479,drop,1669,1,
4633,dry,8988,1,dried
10459,drying,109,0,
7795,dump,205,1,
2821,during,213,0,
5567,dust,1675,1,
5276,each,182,0,
4968,easier,55,0,
10068,eat,450,0,
1961,edge,143,0,
9002,egg,71,0,
5818,either,175,0,
6723,elastic,189,0,
6584,else,56,0,
6438,empty,153,0,
3341,end,223,0,
446,enjoy,4065,0,
1684,ensure,77,0,
9318,essence,57,0,
1832,evaporate,100,1,
1573,evaporated,988,1,
10481,even,95,0,
608,evenly,58,0,
8868,everything,72,0,
427,f,57,0,
5993,fahrenheit,312,0,
802,fast,71,0,
3263,fat,605,0,
6046,feel,104,0,
2748,fill,2162,1,
7178,filling,461,0,
4715,finally,386,0,
1781,fine,241,0,
7320,finish,212,0,
552,finished,79,0,
9737,fire,69,0,
8864,first,526,0,
4781,fish,227,0,
6596,fit,93,0,
7311,flake,97,1,
6526,flame,65,0,
8774,flat,215,0,
1358,flatten,515,1,
9384,flavor,155,0,
10646,flavoring,53,1,
9194,flavour,68,0,
9859,flip,798,1,
3874,float,91,0,
1067,floured,364,1,flour
6169,fluff,467,0,
8005,fluffy,1062,0,
7267,foam,53,1,
3500,foaming,49,0,
7043,foamy,66,0,
9084,foil,273,1,
836,fold,9367,1,
5369,folding,242,0,
1048,follow,162,0,
5943,food,276,0,
8589,form,162,0,
8288,fragrant,423,0,
4999,free,49,0,
3230,freeze,664,0,
7687,freezer,112,0,
8114,freezing,65,1,
1091,french,89,0,
4224,fresh,181,0,
10274,from,70,0,
2401,frost,200,1,
8334,frosting,96,0,
2636,frothy,91,0,
3947,fruit,191,0,
3359,fry,9893,1,
5185,fryer,111,0,
7715,frying,122,0,
1607,garnish,6102,1,
2189,gather,222,0,
4331,get,74,0,
2649,ginger,47,0,
8701,give,245,0,
1193,glass,295,0,
7444,glaze,185,1,
4919,glazed,140,0,
644,glossy,144,0,
2016,go,57,0,
120,gold,62,0,
669,good,433,0,
5929,grain,56,0,
888,grate,670,1,
8642,grater,73,0,
2657,gravy,145,0,
6439,grease,5490,1,
3243,greased,1533,0,
379,great,459,0,
7674,greek,49,0,
3747,griddle,154,1,
6613,grill,3067,0,
8364,grilling,204,0,
7908,grind,1030,1,
1804,grinder,240,0,
5524,ground,359,0,
1993,guacamole,149,0,
8016,half,706,0,
10576,halfway,48,0,
5632,halve,399,0,
3100,ham,167,0,
3295,hamburger,47,0,
8360,hand,804,0,
4087,handle,529,1,
189,hard,171,0,
7152,have,215,0,
7216,head,78,0,
1257,headspace,47,0,
4338,heart,122,0,
4817,heat,102841,1,
8404,heated,217,0,
10088,heating,192,0,
9230,heavy,84,0,
7875,herb,102,0,
7956,here,179,0,
9600,high,808,0,
3752,hint,53,0,
6500,hold,233,1,
9533,holding,95,0,
2841,hollow,48,0,
3379,honey,216,0,
2727,horseradish,147,0,
7183,hot,1916,0,
1997,hour,905,0,
8555,however,208,0,
6619,ice,284,1,
6262,immediately,160,0,
1087,immerse,52,1,
1794,important,49,0,
2686,inch,78,0,
6148,incorporate,262,0,
3896,increase,59,0,
8383,insert,150,1,
8322,inside,300,0,
8694,instead,150,0,
2641,invert,237,1,
4889,italian,74,0,
190,jam,113,0,
3900,jar,133,0,
1253,juice,254,0,
3494,just,1465,0,
10243,kale,55,0,
6681,keep,341,0,
2059,keeping,58,0,
4700,ketchup,254,0,
12,kettle,102,0,
2205,knead,4094,1,
9468,kneading,76,0,
7924,label,58,0,
3060,ladle,1424,1,
3398,lamb,105,0,
4128,lard,76,1,
1464,large,65,0,
183,last,156,0,
2170,lastly,91,0,
10479,later,180,0,
4025,lay,1901,0,
8886,layer,4862,0,
10372,layering,56,0,
7703,leave,1321,0,
5864,leaving,73,0,
2430,left,90,0,
3376,leftover,66,0,
6927,lengthwise,219,0,
8753,let,344,0,
9896,lettuce,233,0,
1782,level,50,0,
5996,lid,403,0,
6539,lift,467,0,
1675,like,136,0,
10504,liking,650,0,
8455,lime,53,0,
2150,line,1693,0,
5313,liquid,86,0,
3618,little,64,0,
9227,log,64,0,
8422,long,438,0,
810,longer,191,0,
8792,look,210,0,
8245,loosen,128,0,
4754,low,8204,0,
7240,lower,1439,0,
2793,make,5916,0,
8862,making,115,0,
4091,marinade,543,1,
9884,marinate,1538,1,
9712,mark,201,0,
7223,marnier,142,0,
6227,masala,49,0,
3510,mash,1396,1,
2689,mashed,72,0,
2528,massage,50,1,
10006,may,266,0,
4832,mayonnaise,238,0,
4054,meanwhile,6938,0,
2714,measure,433,1,
6689,meat,210,0,
6848,medium,545,0,
1500,medium-low,217,0,
9694,meld,146,1,
7847,melt,9807,1,
10186,melted,3762,0,
6299,method,232,0,
5575,mexican,66,0,
4627,microwave,266,0,
9256,milk,94,0,
2910,min,271,0,
6108,mince,475,1,
10528,minced,78,1,
1311,mine,56,0,
2963,mint,87,0,
8597,mix,53890,1,
8460,mixed,529,0,
9502,mixing,580,0,
425,mixture,231,0,
6573,moderate,61,0,
8267,moist,102,1,
5645,moisten,284,1,
5069,mold,239,0,
2914,more,643,0,
1682,most,48,0,
10412,mould,47,1,
1587,mound,205,1,
8069,move,341,1,
2671,much,201,0,
8725,muddle,61,1,
274,mustard,53,0,
8823,nan,54,0,
8200,necessary,702,0,
10350,need,62,0,
6259,needed,2393,0,
4850,nestle,89,0,
4504,next,935,0,
8805,nice,106,0,
7507,not,68,0,
6413,note,2222,1,
178,now,694,0,
2362,off,74,0,
1839,oil,327,0,
4186,old,51,0,
6778,once,4591,0,
6626,one,146,0,
8888,onion,54,0,
6151,opaque,85,0,
2375,open,461,1,
4655,option,53,0,
6019,optional,332,0,
3006,or,86,0,
8523,otherwise,175,0,
8064,out,116,0,
7025,oven,2268,0,
43,over,1380,0,
1880,overcook,178,1,
10402,overlap,47,0,
1109,overmix,109,1,
9812,own,51,0,
9377,pack,274,1,
118,package,160,0,
5593,pale,137,0,
6224,pam,64,0,
1146,pan,157,0,
1798,pan-fry,67,1,
5880,paprika,74,0,
9636,parboil,89,1,
7854,parmesan,440,0,
3595,part,57,0,
7073,pas,249,0,
6595,pasta,250,0,
1457,pastry,240,0,
6593,pat,1177,1,
7218,pea,133,0,
8046,peel,6222,1,
5517,peeled,73,0,
9832,peeler,50,0,
6129,pepper,179,0,
4599,perfect,62,0,
1077,pestle,713,0,
1053,pick,245,1,
9127,pickle,95,0,
3789,pie,197,0,
253,piece,80,0,
10336,pierce,316,1,
192,pierced,323,0,
7360,pile,240,0,
2896,pinch,764,0,
7277,pine,67,0,
3061,pineapple,50,0,
4805,pink,1440,0,
3477,pipe,436,0,
6478,pit,64,0,
5633,pita,54,0,
6360,pitcher,164,0,
4093,pizza,99,0,
9322,place,55697,1,
2489,placed,47,0,
8681,plain,80,0,
9442,plate,308,0,
7577,platter,1055,0,
3413,please,232,0,
7629,pliable,192,0,
7238,plunge,75,0,
5912,poach,115,1,
10195,pod,55,0,
3731,point,332,0,
5013,poke,226,1,
1927,pop,359,1,
6254,pork,243,0,
7014,portion,82,0,
3150,position,247,0,
6819,possible,1091,0,
9294,pot,321,0,
3861,pound,799,0,
6918,pour,20231,1,
5564,pouring,48,0,
8972,powder,354,0,
2360,powdered,102,1,
7488,power,89,0,
5881,prawn,56,0,
3660,pre,139,0,
2554,prefer,509,0,
9682,preference,307,0,
2142,preferred,126,0,
2887,preheat,24218,1,
5973,pre-heat,456,1,
7546,preheated,71,0,
10217,prep,161,0,
3746,preparation,157,0,
5565,prepare,5122,1,
563,prepared,102,0,
2298,preparing,70,0,
7409,presentation,111,1,
8812,press,6005,1,
9487,pressed,173,0,
6102,pressing,651,0,
8678,pressure,427,1,
6339,prick,466,1,
5582,procedure,101,0,
5892,proceed,182,0,
8350,proceeding,54,0,
7348,process,3975,1,
7004,processing,57,0,
3325,processor,93,0,
2020,product,48,0,
10184,proof,67,0,
7318,prosciutto,70,0,
2310,protein,86,0,
4689,provence,97,0,
8759,provolone,84,0,
1649,pudding,176,0,
9907,puffed,135,0,
3057,puffy,102,0,
6710,pull,513,1,
8548,pulling,81,0,
4515,pulp,145,0,
10450,pulse,1146,0,
6124,pumpkin,162,0,
1472,punch,631,1,purée
5609,puree,3063,1,
10069,pureed,187,0,
4822,push,508,1,
4741,put,10528,1,
7210,putting,60,0,
8284,quarter,156,0,
3929,quickly,124,0,
2176,rack,62,0,
6007,radish,58,0,
3503,raise,328,1,
2676,rare,100,0,
1307,read,55,0,
938,ready,138,0,
10058,recipe,600,0,
6868,recover,77,0,
7184,rectangle,368,0,
4167,red,490,0,
6090,reduce,9367,1,
10269,reduced,129,0,
6591,refresh,56,0,
5060,refridgerate,100,0,
3906,refrigerate,10575,1,
10320,refrigerated,422,0,
402,refrigerator,111,0,
112,reheat,806,1,
8910,release,138,0,
8132,released,55,0,
5694,relish,101,0,
8697,remain,137,0,
10083,remember,240,0,
8428,remove,50039,1,
5071,repeat,90,1,
2435,replace,276,1,
1749,required,98,0,
9422,reserve,491,1,
6025,rest,389,1,
5743,resting,66,0,
3644,result,57,0,
7606,return,2722,0,
7829,rice,540,0,
5433,rich,81,0,
2030,ricotta,47,0,
8814,rind,289,0,
2076,ring,105,0,
10483,rinse,2744,1,
2769,rise,2312,1,
7989,risen,91,0,
1516,rising,88,1,
2110,roast,2070,1,
1747,roasted,82,0,
9450,roasting,135,0,
10043,roll,7078,1,"rolled, rolling"
2627,rosemary,651,0,
8234,rotate,68,1,
5385,roux,95,1,
785,rub,523,1,
1945,run,131,0,
509,running,152,0,
9963,saffron,48,0,
8145,sage,110,0,
7478,salad,1179,0,
4156,salsa,128,0,
9028,salt,1083,0,
5504,sandwich,106,0,
9212,sauce,2125,0,
2940,sauerkraut,77,0,
69,sausage,412,0,
9839,saute,6985,1,"sautée, sautee"
6249,save,246,1,
