,0,
0,nan,0
1,pot,1
2,saucepan,1
3,oven,1
4,baking,0
5,dish,1
6,skillet,1
7,food,0
8,processor,1
9,bowl,1
10,cup,1
11,tablespoon,1
12,sheet,0
13,pan,1
14,sugar,0
15,hot,0
16,bag,1
17,container,1
18,serving,0
19,platter,1
20,more,0
21,spatula,1
22,mortar,1
23,clock,0
24,slit,0
25,parchment,1
26,paper,1
27,plate,1
28,colander,1
29,shape,0
30,fork,1
31,knife,1
32,plastic,0
33,hour,0
34,milk,0
35,toothpick,1
36,large,0
37,work,
38,stock,
39,wok,
40,cooker,
41,bouillon,
42,square,
43,broiler,
44,microwave,
45,jar,
46,cooking,
47,pancake,
48,mixer,
49,rack,
50,spoon,
51,potato,
52,masher,
53,whisk,
54,syrup,
55,electric,
56,cake,
57,cutting,
58,board,
59,ricer,
60,sev,
61,machine,
62,inch,
63,wooden,
64,minute,
65,semolina,
66,mat,
67,tahini,
68,sausage,
69,vegetable,
70,peeler,
71,sauce,
72,aside,
73,skin,
74,cookie,
75,evenly,
76,powder,
77,berbere,
78,sieve,
79,skewer,
80,separate,
81,cupcake,
82,mold,
83,rice,
84,cornstarch,
85,pouch,
86,circular,
87,motion,
88,consistency,
89,palm,
90,cloth,
91,bit,
92,surface,
93,pin,
94,seed,
95,together,
96,wire,
97,wax,
98,pattern,
99,wokskillet,
100,portion,
101,day,
102,disk,
103,pork,
104,package,
105,basket,
106,use,
107,pressure,
108,pink,
109,stockpot,
110,fillet,
111,metal,
112,fish,
113,second,
114,circle,
115,spiralizer,
116,fine-mesh,
117,sink,
118,spray,
119,strainer,
120,piece,
121,coffee,
122,blender,
123,time,
124,soft,
125,muffin,
126,casserole,
127,running,
128,brown,
129,month,
130,thin,
131,ball,
132,forming,
133,cover,
134,disc,
135,completely,
136,deep-fryer,
137,clean,
138,cylinder,
139,patty,
140,book,
141,sandwich,
142,jellyroll-fashion,
143,set,
144,pitcher,
145,papaya,
146,color,
147,tray,
148,pancit,
149,little,
150,covered,
151,liner,
152,greased,
153,paneer,
154,pocket,
155,cutlet,
156,cumin,
157,pie,
158,block,
159,before,
160,mill,
161,kadhai,
162,toss,
163,ladle,
164,mug,
165,condiment,
166,cooling,
167,place,
168,pita,
169,paddle,
170,peak,
171,boiler,
172,cutter,
173,porcelain,
174,pumpkin,
175,wet,
176,cucumber,
177,spear,
178,towel,
179,ketchup,
180,down,
181,part,
182,your,
183,slice,
184,starch,
185,finger,
186,asparagus,
187,brush,
188,constantly,
189,pancake-batter,
190,section,
191,even,
192,partially,
193,base,
194,design,
195,bone,
196,foil,
197,),
198,pencil,
199,tin,
200,caramel,
201,chile,
202,half,
203,puree,
204,tomatillo,
205,cook,
206,pod,
207,oz,
208,mallet,
209,meal,
210,side,
211,salsa,
212,steak,
213,when,
214,done,
215,fryer,
216,press,
217,deep,
218,wrap,
219,scoop,
220,round,
221,form,
222,so,
223,cocktail,
224,shaker,
225,paring,
226,week,
227,seal,
228,dough,
229,hook,
230,crock,
231,frozen,
232,packet,
233,ramekin,
234,layer,
235,min,
236,muffin-pan,
237,medium,
238,chicken,
239,breast,
240,tortilla,
241,golden,
242,tb,
243,dry,
244,beef,
245,simmering,
246,foot,
247,kettle,
248,horseradish,
249,fork-tender,
250,while,
251,often,
252,mango,
253,pulse,
254,swordfish,
255,bottom,
