ar_gk,on,ar_gk,,,,
,,,,,,
1,on,1,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9725,0.9568,0.9646,177,5,8
NAME,0.9247,0.9142,0.9194,1694,138,159
QUANTITY,0.9918,0.9848,0.9883,1688,14,26
SIZE,1,0.9804,0.9901,100,0,2
STATE,0.9393,0.9606,0.9498,804,52,33
TEMP,0.9143,0.9143,0.9143,32,3,3
UNIT,0.9797,0.9736,0.9766,1401,29,38
Totals,0.9607,0.9564,0.9585,5896,241,269
,,,,,,
2,on,2,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9651,0.9822,0.9736,166,6,3
NAME,0.9297,0.9222,0.9259,1694,128,143
QUANTITY,0.993,0.9884,0.9907,1702,12,20
SIZE,1,0.925,0.961,74,0,6
STATE,0.9412,0.9657,0.9533,817,51,29
TEMP,0.9063,0.8056,0.8529,29,3,7
UNIT,0.9804,0.9776,0.979,1397,28,32
Totals,0.9627,0.9608,0.9617,5879,228,240
,,,,,,
3,on,3,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9645,0.9939,0.979,163,6,1
NAME,0.9281,0.9302,0.9292,1705,132,128
QUANTITY,0.9942,0.9936,0.9939,1719,10,11
SIZE,0.9894,0.9688,0.9789,93,1,3
STATE,0.9419,0.952,0.9469,794,49,40
TEMP,0.7895,0.8824,0.8333,30,8,4
UNIT,0.9758,0.9835,0.9797,1373,34,23
Totals,0.9608,0.9655,0.9631,5877,240,210
,,,,,,
4,on,4,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9784,0.9577,0.968,136,3,6
NAME,0.9207,0.9162,0.9184,1694,146,155
QUANTITY,0.9941,0.9911,0.9926,1679,10,15
SIZE,0.956,0.9255,0.9405,87,4,7
STATE,0.9407,0.9554,0.948,793,50,37
TEMP,0.9333,0.875,0.9032,28,2,4
UNIT,0.9794,0.9822,0.9808,1378,29,25
Totals,0.9596,0.9588,0.9592,5795,244,249
,,,,,,
5,on,5,,,,
Entity,P,R,F1,TP,FP,FN
DF,0.9667,0.9732,0.9699,145,5,4
NAME,0.93,0.9203,0.9251,1686,127,146
QUANTITY,0.9959,0.9896,0.9928,1713,7,18
SIZE,0.9596,0.95,0.9548,95,4,5
STATE,0.9447,0.9632,0.9539,786,46,30
TEMP,0.9512,0.907,0.9286,39,2,4
UNIT,0.9869,0.9781,0.9824,1427,19,32
Totals,0.9656,0.961,0.9633,5891,210,239
,,,,,,
,,,,,,
,,Avg F1 Score = ,0.96116,,,
