	
4	QUANTITY
cloves	UNIT
garlic	NAME
	
2	QUANTITY
tablespoons	UNIT
vegetable	NAME
oil	NAME
,	O
divided	STATE
	
2	QUANTITY
tablespoons	UNIT
dried	DF
marjoram	NAME
	
1	QUANTITY
large	SIZE
red	NAME
onion	NAME
,	O
1/4-inch	O
slices	O
pulled	O
into	O
rings	O
	
2	QUANTITY
jalapeno	NAME
peppers	NAME
,	O
seeded	STATE
and	O
minced	STATE
	
1	QUANTITY
tablespoon	UNIT
olive	NAME
oil	NAME
	
extra	NAME
virgin	NAME
olive	NAME
oil	NAME
,	O
for	O
drizzling	O
	
1/3	QUANTITY
cup	UNIT
sliced	STATE
pitted	STATE
ripe	STATE
olives	NAME
-LRB-	O
optional	O
-RRB-	O
	
3	QUANTITY
cloves	UNIT
garlic	NAME
,	O
minced	STATE
	
4	QUANTITY
tablespoons	UNIT
oyster	NAME
sauce	NAME
	
1	QUANTITY
-LRB-	O
10.75	QUANTITY
ounce	UNIT
-RRB-	O
can	UNIT
condensed	STATE
tomato	NAME
soup	NAME
	
2	QUANTITY
cups	UNIT
uncooked	STATE
white	NAME
rice	NAME
	
2	QUANTITY
tablespoons	UNIT
chili	NAME
bean	NAME
paste	NAME
-LRB-	O
toban	O
djan	O
-RRB-	O
	
3/4	QUANTITY
cup	UNIT
distilled	STATE
white	NAME
vinegar	NAME
	
1	QUANTITY
teaspoon	UNIT
grated	STATE
fresh	DF
ginger	NAME
root	NAME
	
2	QUANTITY
limes	NAME
,	O
sliced	STATE
into	O
wedges	O
	
1	QUANTITY
cup	UNIT
cremini	NAME
mushrooms	NAME
,	O
cut	STATE
in	O
half	O
	
1	QUANTITY
zucchini	NAME
,	O
halved	STATE
lengthwise	STATE
and	O
cut	STATE
into	O
1	O
inch	O
slices	O
	
1/2	QUANTITY
cup	UNIT
olive	NAME
oil	NAME
,	O
or	O
to	O
taste	O
	
4	QUANTITY
12-inch	QUANTITY
long	UNIT
metal	O
skewers	O
	
1	QUANTITY
cup	UNIT
canned	STATE
lobster	O
meat	NAME
,	O
with	O
juice	NAME
	
2	QUANTITY
tablespoons	UNIT
drained	STATE
pickled	STATE
ginger	NAME
,	O
for	O
garnish	O
	
4	QUANTITY
cups	UNIT
water	NAME
	
8	QUANTITY
-LRB-	O
8	QUANTITY
inch	UNIT
-RRB-	O
flour	NAME
tortillas	NAME
	
cooking	NAME
spray	NAME
	
1	QUANTITY
large	SIZE
onion	NAME
,	O
chopped	STATE
	
6	QUANTITY
cups	UNIT
chicken	NAME
stock	NAME
,	O
divided	STATE
	
1	QUANTITY
tablespoon	UNIT
fat-free	STATE
Greek-style	NAME
yogurt	NAME
	
1	QUANTITY
teaspoon	UNIT
cumin	NAME
seeds	NAME
	
1/2	QUANTITY
bunch	UNIT
fresh	DF
cilantro	NAME
,	O
chopped	STATE
	
1	QUANTITY
large	SIZE
zucchini	NAME
cut	STATE
in	O
half	STATE
lengthwise	STATE
,	O
then	O
cut	STATE
into	O
1-inch	O
moons	O
	
1/4	QUANTITY
cup	UNIT
2	STATE
%	STATE
low-fat	STATE
milk	NAME
	
1/2	QUANTITY
red	NAME
onion	NAME
,	O
chopped	STATE
	
1	QUANTITY
-LRB-	O
8	QUANTITY
ounce	UNIT
-RRB-	O
package	UNIT
cream	NAME
cheese	NAME
,	O
softened	STATE
	
1/4	QUANTITY
cup	UNIT
butter	NAME
	
1	QUANTITY
cup	UNIT
chestnut	NAME
puree	NAME
	
1/4	QUANTITY
teaspoon	UNIT
chili	NAME
powder	NAME
	
