1337,elite
<3,love
10q,thank you
10x,thanks
2moro,tomorrow
2morrow,tomorrow
2moz,tomorrow
abt,about
adad,another day another dollar
adih,another day in hell
adip,another day in paradise
aeap,as early as possible
afaicr,as far as i can recall
afaics,as far as i can see
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i remember
afap,as far as possible
atm,now
awol,away
b/c,because
b4,before
bbiab,be back in a bit
bbl,be back later 
bbq,barbecue
bbs,be back soon
bc,because
bff,best friends forever
bfn,bye for now
bofh,bastard operator from hell
brb,be right back
bsod,blue screen of death
btdt,been there done that
btw,by the way
cmiiw,correct me if i'm wrong
cu,see you
da,the
dftt,don't feed the trolls
dgaf,don't give a fuck
diaf,die in a fire
dl,download
dnd,do not disturb
doa,dead on arrival
eta,estimated time of arrival
f9,fine
ffs,for fuck's sake
fmcdh,from my cold dead hands
fml,fuck my life.
foad,fuck off and die
foaf,friend of a friend
ftfy,fixed that for you
ftl,for the loss
ftw,for the win
fu,fuck you
fwiw,for what it's worth
fyi,for your information
gbtw,get back to work
gf,great/good fight
gfu,good for you
gfy,go fuck yourself
gg,good game
ggs,good games
gj,good job
gl,good luck
gmta,great minds think alike
gtfo,get the fuck out
gtg,got to go
g2g,got to go
hf,have fun
hth,hope this helps
ianal,i am not a lawyer
ibtl,in before the lock
idk,i don't know
iht,i had to
iirc,if i remember correctly
iiuc,if i understand correctly
ily,i love you
imao,in my arrogant opinion
imho,in my humble opinion
imnsho,in my not so humble opinion
imo,in my opinion
iono,i don't know
iow,in other words
irc,internet relay chat
irl,in real life
itym,i think you mean
iwsn,i want sex now
iykwim,if you know what i mean
j/k,joking
jas,just a sec
jftr,just for the record
jk,joking
kos,kill on sight
kthx,thanks
l8r,later
lfg,looking for group
lfm,looking for more
lmao,haha
lmfao,haha
rofl,haha
lmirl,let's meet in real life.
lmk,let me know
ltns,long time no see
lylab,love you like a brother.
lylas,love you like a sister.
m8,mate
mfw,my face when
motd,message of the day
mtfbwy,may the force be with you
mud,multi-user dungeon
mush,multi-user shared hallucination
myob,mind your own business
n1,nice one
ne1,anyone
ngl,not gonna lie
nifoc,naked in front of computer
nm,never mind
np,no problem
nsfw,naughty
nsoh,no sense of humor
nvm,nevermind
ofn,old freaking news
oic,oh i see
omw,on my way
onoz,oh no
op,original poster
os,operating system
ot,off topic
otb,off to bed
otoh,on the other hand
otp,on the phone
paw,parents are watching
pita,pain in the ass
plmk,please let me know
pmsl,pissing myself laughing
pots,plain old telephone service
pov,point of view
ppl,people
ptkfgs,punch the keys for god's sake
pw,password
pwned,owned
rl,real life
rms,ride me sideways
rsn,real soon now
rtfb,read the fucking binary
rtfs,read the fucking source
sfw,safe for work
smh,shaking my head
smiley,another name for emoticons
snail mail,normal paper mail service
sohf,sense of humor failure
stfu,shut the fuck up
str8,straight
tbf,time between failures
tbh,to be honest
tg,that's great
tgif,thank god it's friday
thnx,thanks
thx,thanks
tia,thanks in advance
timwtk,this inquiring mind wants to know
tins,there is no spoon
tl;dr,too long; didn't read
tmi,too much information
tnx,thanks
tos,terms of service
ttbomk,to the best of my knowledge
ttfn,ta ta for now
ttyl,talk to you later
ttyn,talk to you never
ttys,talk to you soon
ty,thank you
tyt,take your time
tyvm,thank you very much
ugo,you got owned
urs,yours
utfse,use the fucking search engine
w/,with
w/e,whatever
w/e,weekend
w/o,without
w8,wait
wb,welcome back
wrt,with respect to
wtb,want to buy
wtf,what the fuck
wtg,way to go
wth,what the hell
wts,want to sell
wtt,want to trade
wug,what you got?
yagni,you ain't gonna need it.
yagtoh,you are going to own him.
yec,young earth creationism
ygm,you've got mail.
yhbt,you have been trolled.
ykw,you know what?
ymmv,your mileage may vary.
yoyo,you're on your own
ytmnd,you're the man now dog
yw,you're welcome.
ima,I'll
imma,I'll
deez,these
wit,with
fucken,fucking
tryna,trying to
ur,you're
def,definitely
takin,taking
cuz,because
nd,and
dnt,don't
fo,for
sho,sure
bday,birthday
b-day,birthday
nite,night
bro,brother
ya,your
wanna,want to
luv,love
2day,today
2night,tonight
2nite,tonight
tha,the
doin,doing
goin,going
incl,including
nothin,nothing
yea,yeah
bringin,bringing
dun,don't
kno,know
pic,picture
frm,from
sis,sister
sumn,something
tellin,telling
tbh,to be honest
idk,I don't know
govt,government
lik,like
dis,this
evry,every
everytim,every time
gr8,great
fkn,fucking
cnt,can't
ive,I've
dint,didn't
afta,have to
boi,boy
ad,had
bt,but
nw,now
2gva,together
nutn,nothing
ntn,nothing
sth,something
int,isn't
tymz,times
dossin,dossing
hses,houses
agen,again
nyts,nights
nyt,night
gd,good
wif,with
mor,more
hse,house
gt,get
jus,jsut
hpe,hope
lst,last
gen,again
dey,they
bby,baby
4eva,forever
every1,everyone
evry1,everyone
nuff,enough
es,he's
ez,easy
lyk,like
v.,very
gud,good
twt,tweet
twtr,twitter
pls,please
plz,please
ty,thankyou
wtb,want to buy
cont,continued
lv,love
obv,obviously
obvs,obviously
blate,blatently
blates,blatently
totes,totally
innit,isn't it
obvblates,assuredly
whts,what's
luvz,loves
inna,in a
anyways,anyway
hella,very
blu,blue
5-0,police
5o,police
5-O,police
niggaz,people
pz,peace
plez,please
yuhu,yes
yhuu,you
yu,you
yuhuu,yes
kk,ok
kkk,ok
bles,bless
thru,through
aint,ain't
apr,April
aug,August
bcuz,because
birfday,birthday
convo,conversation
cryin,crying
cus,curse
cussin,cursing
cusz,because
dat,that
dec,December
ep,episode
eps,episodes
fakin,faking
fallin,falling
fb,Facebook
fck,fuck
fckn,fucking
feb,February
fo,for
getn,getting
i'ma,i'll
jan,January
jul,July
jun,June
mar,March
oct,October
pics,pictures
nov,November
sep,September
sq,square
thn,then
thro,through
tht,that
vids,videos
wil,will
cum,come
w/o,without
